 layer     x     y   occupancy           %    capacity
     0     0     0           0       0.000           0
     0     0     1           0       0.000           0
     0     0     2           0       0.000           0
     0     0     3           0       0.000           0
     0     0     4           0       0.000           0
     0     0     5           0       0.000           0
     0     0     6           0       0.000           0
     0     0     7           0       0.000           0
     0     0     8           0       0.000           0
     0     0     9           0       0.000           0
     0     0    10           0       0.000           0
     0     1     0          14      14.000         100
     0     1     1          12      12.000         100
     0     1     2          12      12.000         100
     0     1     3          22      22.000         100
     0     1     4          23      23.000         100
     0     1     5          24      24.000         100
     0     1     6          22      22.000         100
     0     1     7          19      19.000         100
     0     1     8          11      11.000         100
     0     1     9           7       7.000         100
     0     1    10          14      14.000         100
     0     2     0          19      19.000         100
     0     2     1          17      17.000         100
     0     2     2          21      21.000         100
     0     2     3          30      30.000         100
     0     2     4          32      32.000         100
     0     2     5          30      30.000         100
     0     2     6          26      26.000         100
     0     2     7          24      24.000         100
     0     2     8          15      15.000         100
     0     2     9           9       9.000         100
     0     2    10          25      25.000         100
     0     3     0          27      27.000         100
     0     3     1          22      22.000         100
     0     3     2          28      28.000         100
     0     3     3          35      35.000         100
     0     3     4          34      34.000         100
     0     3     5          35      35.000         100
     0     3     6          31      31.000         100
     0     3     7          31      31.000         100
     0     3     8          18      18.000         100
     0     3     9          14      14.000         100
     0     3    10          27      27.000         100
     0     4     0          27      27.000         100
     0     4     1          24      24.000         100
     0     4     2          35      35.000         100
     0     4     3          39      39.000         100
     0     4     4          36      36.000         100
     0     4     5          42      42.000         100
     0     4     6          41      41.000         100
     0     4     7          36      36.000         100
     0     4     8          29      29.000         100
     0     4     9          21      21.000         100
     0     4    10          31      31.000         100
     0     5     0          30      30.000         100
     0     5     1          23      23.000         100
     0     5     2          38      38.000         100
     0     5     3          34      34.000         100
     0     5     4          39      39.000         100
     0     5     5          43      43.000         100
     0     5     6          44      44.000         100
     0     5     7          41      41.000         100
     0     5     8          30      30.000         100
     0     5     9          23      23.000         100
     0     5    10          35      35.000         100
     0     6     0          36      36.000         100
     0     6     1          28      28.000         100
     0     6     2          32      32.000         100
     0     6     3          28      28.000         100
     0     6     4          30      30.000         100
     0     6     5          40      40.000         100
     0     6     6          39      39.000         100
     0     6     7          38      38.000         100
     0     6     8          32      32.000         100
     0     6     9          25      25.000         100
     0     6    10          29      29.000         100
     0     7     0          34      34.000         100
     0     7     1          27      27.000         100
     0     7     2          29      29.000         100
     0     7     3          27      27.000         100
     0     7     4          26      26.000         100
     0     7     5          37      37.000         100
     0     7     6          42      42.000         100
     0     7     7          34      34.000         100
     0     7     8          36      36.000         100
     0     7     9          24      24.000         100
     0     7    10          34      34.000         100
     0     8     0          32      32.000         100
     0     8     1          25      25.000         100
     0     8     2          21      21.000         100
     0     8     3          19      19.000         100
     0     8     4          23      23.000         100
     0     8     5          28      28.000         100
     0     8     6          34      34.000         100
     0     8     7          29      29.000         100
     0     8     8          25      25.000         100
     0     8     9          18      18.000         100
     0     8    10          30      30.000         100
     0     9     0          29      29.000         100
     0     9     1          23      23.000         100
     0     9     2          18      18.000         100
     0     9     3          17      17.000         100
     0     9     4          18      18.000         100
     0     9     5          25      25.000         100
     0     9     6          25      25.000         100
     0     9     7          21      21.000         100
     0     9     8          21      21.000         100
     0     9     9          18      18.000         100
     0     9    10          28      28.000         100
     0    10     0          21      21.000         100
     0    10     1          12      12.000         100
     0    10     2          14      14.000         100
     0    10     3          11      11.000         100
     0    10     4          14      14.000         100
     0    10     5          18      18.000         100
     0    10     6          24      24.000         100
     0    10     7          18      18.000         100
     0    10     8          16      16.000         100
     0    10     9          16      16.000         100
     0    10    10          24      24.000         100
     0    11     0           0       0.000           0
     0    11     1           0       0.000           0
     0    11     2           0       0.000           0
     0    11     3           0       0.000           0
     0    11     4           0       0.000           0
     0    11     5           0       0.000           0
     0    11     6           0       0.000           0
     0    11     7           0       0.000           0
     0    11     8           0       0.000           0
     0    11     9           0       0.000           0
     0    11    10           0       0.000           0
